103
N;12345678;100;5;130;190123
P;12345679;200;10;12;181231
P;12346789;101;45;2300;190130
P;59393214;400;1;200;991230
P;63356014;200;1;345;991230
P;63356014;301;1;1044;991230
P;63356014;400;2;200;991230
P;59393214;401;15;65;190205
P;93320622;401;1;65;190205
P;82710982;401;2;65;190205
P;46076208;401;1;65;190205
P;73982991;401;2;65;190205
P;73982991;300;1;1299;190205
P;73982991;100;1;2;190205
P;49595422;401;1;65;190205
P;49595422;300;1;1299;190205
P;54756157;401;2;65;190205
P;54756157;300;1;1299;190205
P;81384076;401;4;65;190205
P;59890373;401;4;65;190205
P;25986551;401;4;65;190205
P;74627027;301;4;1044;190205
P;74627027;100;1;2;190205
P;74627027;300;1;1299;190205
P;60492460;401;2;65;190205
P;60492460;301;1;1044;190205
P;65775638;300;1;1299;190205
P;65775638;301;1;1044;190205
P;65775638;400;4;200;190205
P;49634134;401;1;65;190205
P;49634134;300;1;1299;190205
P;49634134;301;45;1044;190205
P;18849973;401;1;65;190205
P;18849973;301;1;1044;190205
P;18849973;300;45;1299;190205
P;76514212;301;1;1044;190205
P;76514212;300;1;1299;190205
P;76514212;200;1;345;190205
P;70297969;400;1;200;190205
P;70297969;200;1;345;190205
P;70297969;300;1;1299;190205
P;70297969;100;1;2;190205
P;70297969;301;1;1044;190205
P;70297969;401;1;65;190205
P;30611923;400;3;200;190206
P;30611923;301;1;1044;190206
P;30611923;401;2;65;190206
P;91209378;400;3;200;190206
P;91209378;301;1;1044;190206
P;91209378;401;2;65;190206
P;95733139;401;1;65;190206
P;95733139;300;1;1299;190206
P;95733139;301;1;1044;190206
P;95733139;100;1;2;190206
P;45239546;401;1;65;190206
P;45239546;300;1;1299;190206
P;45239546;301;1;1044;190206
P;45239546;100;1;2;190206
P;97601407;401;1;65;190206
P;97601407;300;1;1299;190206
P;97601407;301;1;1044;190206
P;97601407;100;1;2;190206
P;95668905;401;1;65;190206
P;95668905;300;1;1299;190206
P;95668905;301;1;1044;190206
P;95668905;100;1;2;190206
P;49478771;401;1;65;190206
P;28992209;401;2;65;190206
P;28992209;301;1;1044;190206
P;82396817;301;1;1044;190206
P;82396817;401;3;65;190206
P;16836062;301;2;1044;190206
P;16836062;400;2;200;190206
P;98086774;400;1;200;190208
P;98086774;200;1;345;190208
P;24777842;401;1;65;190208
P;24777842;400;1;200;190208
P;86743748;301;1;1044;190208
P;86743748;200;1;345;190208
P;93031722;200;2;345;190208
P;93031722;301;2;1044;190208
P;67827692;301;1;1044;190208
P;67827692;401;1;65;190208
P;67265494;400;1;200;190208
P;67265494;200;2;345;190208
P;57826714;100;5;2;190208
P;98227966;200;54;345;190208
P;98227966;300;55;1299;190208
P;81603908;200;1;345;190208
P;81603908;100;1;2;190208
P;81603908;301;1;1044;190208
P;81603908;400;1;200;190208
P;45625868;301;101;1044;190208
P;45625868;200;6;345;190208
P;45625868;401;1;65;190208
P;24054384;401;1;6500;190208
P;24054384;200;13;34500;190208
P;24054384;300;1;129900;190208
P;10103752;200;21;34500;190209
P;10103752;400;3;20000;190209
P;10103752;401;2;6500;190209
P;61827662;301;1;1044;190209
P;61827662;401;2;65;190209
